"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Will the price of Bitcoin be above $90,000 on January 23?","Buy","1.15","5","Yes","1769185206","0xdad7db7894a96672737091217f7f1f1956f81f3f219d21714c2e1f06e90c2785"
"Will the price of Bitcoin be above $88,000 on January 23?","Sell","4.98","5","Yes","1769185166","0x6e29ed92d501932c53b0d4a01e2d18713e9e7f54cdbe81b2ef330090160a99b9"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 23?","Buy","3.75","5","Yes","1769185166","0xfaf7ac2746be84dda1ee4b0850e5fd74382ff9b5c09c9274d7bd8c585949e41d"
"Will the price of Ethereum be above $2,900 on January 23?","Sell","3.35","5","Yes","1769179002","0x9c550f080badec84feb276d6fe5dec544b5235e7b8c1966c744ba113b1152b29"
"Will the price of Ethereum be between $2,900 and $3,000 on January 23?","Buy","3.08","5","Yes","1769178986","0x7ee306604e97fcdba012070413c52a107666356bb44078908325aeff765be8b6"
"Will the price of Ethereum be above $3,000 on January 23?","Buy","0.14","5","Yes","1769178984","0xca76ccf98b779773c3df7983d666eb9671b8ddebed85c40a27dc21038746b91a"
"Will the price of Bitcoin be above $90,000 on January 23?","Sell","0.95","5","Yes","1769178846","0xee906ee9d25d606c1d0d96f0631308f61d9d10cb6cdb3617b3b15e50d2f6e895"
"Will the price of Bitcoin be above $88,000 on January 23?","Buy","4.7","5","Yes","1769178804","0x888d68bc0a56d5043879382acb47b2c0092365cd18284ce250aa069b7e62073f"
"Will the price of Bitcoin be between $88,000 and $90,000 on January 23?","Sell","0.9086","1.18","Yes","1769178800","0x25e2ce3c8d2cb5fa4b9d56704fbe4a6c1887723104f6a486144b3e10faa8e732"
"Will the price of Ethereum be above $2,900 on January 23?","Buy","4.305","5","Yes","1769178700","0xde2b5a54d7576a625b8b704d73e68257fa6609d57db13231b6236beb1b9f3b14"
"Will the price of Ethereum be between $2,800 and $2,900 on January 23?","Buy","0.7","5","Yes","1769178696","0xe5ce2aed5ed6f45dc662e167f43db22015190c1a7c474a6a32c53038d0918d2a"
"Will the price of Ethereum be above $2,800 on January 23?","Sell","4.965","5","Yes","1769178696","0xcb14556af42088cc3fed42be5e53018e34cb5c1c9bf4e3b964bcb7dd16cdb995"
"Will the price of Ethereum be above $2,900 on January 23?","Buy","4.45","5","Yes","1769178624","0x3e79c3c86534a9ba236ceebccbb9c1b7a811d151f2de0f02baafc1da0faf6ae1"
"Will the price of Ethereum be between $2,900 and $3,000 on January 23?","Sell","4.285","5","Yes","1769178620","0xfdf4f9c69b0972d604132eef061b17949f68764608db80951a37e4bea5bce746"
"Will the price of Ethereum be above $3,000 on January 23?","Sell","0.275","5","Yes","1769178616","0x51b25c6056bcfa09ee059c67210e926e97e276a39f122730df44c406d79f9456"
